title,developer,publisher,genres,category,overallAvgRating,reviewCount,finalAmount,baseAmount,discountPercentage,isDiscounted,isFree,globalReleaseDate,isGame,main_genre,release_year
Content Pack - Europa Universalis IV: Emperor,"Paradox Development Studio, Paradox Tinto",Paradox Interactive,"['Strategy', 'Real-time', 'Historical']",Strategy,2.3,1,2.39,5.99,60,True,False,1591650000.0,True,Strategy,2020.0
Pathfinder: Kingmaker - Enhanced Plus Edition,Owlcat Games,MY.GAMES,"['Role-playing', 'Adventure', 'Fantasy']",Role-playing,3.6,659,2.99,19.99,85,True,False,1537822800.0,True,Role-playing,2018.0
Train Valley - Germany,"Alexey Davydov, Sergey Dvoynikov, Timofey Shargorodskiy","Flazm, META Publishing","['Simulation', 'Building', 'Managerial']",Simulation,4.2,3,1.19,2.49,52,True,False,1459976400.0,True,Simulation,2016.0
Hentai Jigsaw Puzzle,NAISU,MediBang Inc.,"['Simulation', 'Puzzle']",Simulation,3.4,3,0.99,1.99,50,True,False,1550181600.0,True,Simulation,2019.0
The Plane Effect,Innovina/StudioKiku,PQube,"['Adventure', 'Point-and-click', 'Puzzle']",Adventure,3.2,3,3.79,14.99,75,True,False,1632344400.0,True,Adventure,2021.0
Summer Memories Deluxe Edition UNRATED,Dojin Otome,Kagura Games,"['Role-playing', 'Adventure', 'Comedy']",Role-playing,4.7,11,0.0,0.0,0,False,True,1592168400.0,True,Role-playing,2020.0
Darkest Dungeon®: The Shieldbreaker,Red Hook Studios,Red Hook Studios,"['Role-playing', 'Turn-based', 'Fantasy']",Role-playing,3.8,6,1.19,3.99,70,True,False,1508965200.0,True,Role-playing,2017.0
FATE: Undiscovered Realms,WildTangent,WildTangent,"['Role-playing', 'Action', 'Fantasy']",Role-playing,4.0,11,6.59,6.59,0,False,False,1218142800.0,True,Role-playing,2008.0
The Dark Heart of Uukrul,Digital Studios Limited,MOON BOOKS LLC,"['Role-playing', 'Turn-based', 'Puzzle']",Role-playing,4.6,12,5.99,5.99,0,False,False,623196000.0,True,Role-playing,1989.0
The Painscreek Killings,EQ Studios,EQ Studios,"['Adventure', 'Puzzle', 'Mystery']",Adventure,4.3,13,7.99,19.99,60,True,False,1506459600.0,True,Adventure,2017.0
Lorelai,Harvester Games,Screen 7,"['Action', 'Adventure', 'Horror']",Action,4.0,57,2.29,9.75,77,True,False,1556226000.0,True,Action,2019.0
PC Building Simulator - GOG Galaxy Edition Case,"Claudiu Kiss, The Irregular Corporation",The Irregular Corporation,"['Simulation', 'Building', 'Managerial']",Simulation,4.2,9,0.0,0.0,0,False,True,1561669200.0,True,Simulation,2019.0
Project Highrise: Brilliant Berlin,SomaSim,Kasedo Games,"['Simulation', 'Building', 'Managerial']",Simulation,3.0,1,0.89,1.99,55,True,False,1531947600.0,True,Simulation,2018.0
Victor Vran: Fractured Worlds,Haemimont Games,Haemimont Games,"['Action', 'Role-playing', 'Fantasy']",Action,3.6,3,2.39,11.99,80,True,False,1496696400.0,True,Action,2017.0
BROK The InvestiGator - prologue,COWCAT,COWCAT,"['Adventure', 'Point-and-click', 'Fighting']",Adventure,4.7,8,0.0,0.0,0,False,True,1606860000.0,True,Adventure,2020.0
Jill of the Jungle: The Complete Trilogy,Epic Games,Epic Games,"['Action', 'Arcade', 'Platformer']",Action,4.2,94,0.0,0.0,0,False,True,694216800.0,True,Action,1991.0
Mars: War Logs,Spiders,Focus Entertainment,"['Action', 'Role-playing', 'Sci-fi']",Action,3.8,59,0.99,4.99,80,True,False,1366923600.0,True,Action,2013.0
Tinykin,Splashteam,tinyBuild,"['Action', 'Adventure', 'Platformer']",Action,4.6,24,4.19,20.99,80,True,False,1661806800.0,True,Action,2022.0
Hyperdimension Neptunia Re;Birth1 Deluxe Pack,Idea Factory International,Idea Factory International,"['Role-playing', 'Turn-based', 'Fantasy']",Role-playing,3.4,1,2.99,9.99,70,True,False,1471986000.0,True,Role-playing,2016.0
Craft the World - Abandoned Mines,Dekovir Entertainment,Dekovir Entertainment,"['Strategy', 'Real-time', 'Sandbox']",Strategy,4.2,1,0.0,0.0,0,False,True,1561410000.0,True,Strategy,2019.0
a pet shop after dark,npckc,npckc,"['Adventure', 'Point-and-click', 'Horror']",Adventure,4.0,1,7.79,9.75,20,True,False,1661806800.0,True,Adventure,2022.0
Into the Pit,Nullpointer Games,Humble Games,"['Action', 'FPP', 'Fantasy']",Action,3.1,8,4.5,14.99,70,True,False,1634590800.0,True,Action,2021.0
Golazo! 2,Purple Tree S R L,Purple Tree S R L,"['Action', 'Arcade', 'Soccer']",Action,3.9,5,14.99,14.99,0,False,False,1661979600.0,True,Action,2022.0
Pharaoh™: A New Era,Triskell Interactive,DotEmu,"['Strategy', 'Building', 'Managerial']",Strategy,3.2,133,14.99,22.99,35,True,False,1676412000.0,True,Strategy,2023.0
Avadon 3: The Warborn,Spiderweb Software,Spiderweb Software,"['Role-playing', 'Turn-based', 'Fantasy']",Role-playing,4.2,5,5.49,18.29,70,True,False,1473800400.0,True,Role-playing,2016.0
Serious Sam 4 Deluxe Edition,Croteam,Devolver Digital,"['Action', 'Adventure', 'Sci-fi']",Action,3.9,10,15.0,49.99,70,True,False,1600894800.0,True,Action,2020.0
Slender Threads: Prologue,Blyts,Blyts,"['Adventure', 'Point-and-click', 'Horror']",Adventure,4.2,4,0.0,0.0,0,False,True,1631653200.0,True,Adventure,2021.0
Secret Files: Tunguska,Animation Arts,Ravenscourt,"['Adventure', 'Point-and-click', 'Modern']",Adventure,3.9,54,0.99,9.99,90,True,False,1256767200.0,True,Adventure,2009.0
Citizen Sleeper: Deluxe Edition,Jump Over The Age,Fellow Traveller,"['Role-playing', 'Adventure', 'Sci-fi']",Role-playing,4.0,1,31.47,31.47,0,False,False,1651698000.0,True,Role-playing,2022.0
Riven: The Deluxe Edition,Cyan Worlds,Cyan Worlds,"['Adventure', 'FPP', 'Puzzle']",Adventure,4.1,3,42.89,47.59,10,True,False,1719262800.0,True,Adventure,2024.0
Stellar Warfare,Tense Games,Tense Games,"['Strategy', 'Real-time', 'Sci-fi']",Strategy,2.8,2,9.99,19.99,50,True,False,1628024400.0,True,Strategy,2021.0
Whacking Hell!,Sanuk Games,Sanuk Games,"['Shooter', 'Action', 'Horror']",Shooter,3.8,5,4.89,9.75,50,True,False,1718226000.0,True,Shooter,2024.0
Mai and the Legendary Treasure UNRATED,Circle Gyu,Kagura Games,"['Role-playing', 'Adventure', 'Narrative']",Role-playing,3.0,1,0.0,0.0,0,False,True,1691182800.0,True,Role-playing,2023.0
Darkest Dungeon® II,Red Hook Studios,Red Hook Studios,"['Strategy', 'Turn-based', 'Fantasy']",Strategy,4.3,41,19.51,38.99,50,True,False,1683493200.0,True,Strategy,2023.0
Luna's Fishing Garden,Coldwild Games,Coldwild Games,"['Adventure', 'Building', 'Platformer']",Adventure,4.4,3,5.39,7.99,33,True,False,1623790800.0,True,Adventure,2021.0
Shadows of Doubt Soundtrack,ColePowered Games,Fireshine Games,"['Adventure', 'Puzzle', 'Detective-mystery']",Adventure,3.0,1,4.79,5.89,19,True,False,1727125200.0,True,Adventure,2024.0
Terraformers: First Steps on Mars,Asteroid Lab,Goblinz Publishing,"['Strategy', 'Turn-based']",Strategy,2.8,25,0.0,0.0,0,False,True,1634936400.0,True,Strategy,2021.0
Dagon: by H. P. Lovecraft,Bit Golem,Bit Golem,"['Adventure', 'Point-and-click', 'Horror']",Adventure,4.2,117,0.0,0.0,0,False,True,1632430800.0,True,Adventure,2021.0
The Silver Case,Grasshopper Manufacture Inc.,PLAYISM,"['Adventure', 'FPP', 'Detective-mystery']",Adventure,4.0,11,4.59,18.29,75,True,False,1475787600.0,True,Adventure,2016.0
Nobody Saves the World,DrinkBox Studios,DrinkBox Studios,"['Action', 'Adventure', 'Fantasy']",Action,4.4,12,8.59,24.5,65,True,False,1642456800.0,True,Action,2022.0
Starpoint Gemini 3: Supporter Pack,Little Green Men Games,Little Green Men Games,"['Action', 'Simulation', 'Sci-fi']",Action,2.3,1,8.19,8.19,0,False,False,1567630800.0,True,Action,2019.0
Bloodstained: Ritual of the Night,ArtPlay,505 Games,"['Action', 'Role-playing', 'Metroidvania']",Action,4.5,261,10.0,39.99,75,True,False,1560805200.0,True,Action,2019.0
Quern - Undying Thoughts,Zadbox Entertainment,Zadbox Entertainment,"['Adventure', 'Puzzle', 'Detective-mystery']",Adventure,4.3,94,22.79,22.79,0,False,False,1480284000.0,True,Adventure,2016.0
Alien Earth,"Beam Software Pty., Ltd.",Ziggurat Interactive,"['Action', 'Adventure', 'Puzzle']",Action,3.7,6,1.29,4.99,74,True,False,900968400.0,True,Action,1998.0
Kathy Rain 2: Soothsayer,Clifftop Games,Raw Fury,"['Adventure', 'Point-and-click', 'Mystery']",Adventure,4.6,30,19.99,19.99,0,False,False,1747688400.0,True,Adventure,2025.0
Fantasy Tavern Sextet - Vol.1 New World Days,"qureate, iMel Inc.","qureate, MediBang Inc.","['Adventure', 'Visual Novel', 'Fantasy']",Adventure,3.8,4,10.79,10.79,0,False,False,1607896800.0,True,Adventure,2020.0
Enderal: The Shards of Order Soundtrack,"SureAI, Marvin Kopp, Simon W. Autenrieth",SureAI,"['Role-playing', 'Adventure', 'Fantasy']",Role-playing,4.6,3,0.0,0.0,0,False,True,1670968800.0,True,Role-playing,2022.0
BorderZone,"Saturn-plus, Orion",Fulqrum Publishing,"['Role-playing', 'Action', 'Fantasy']",Role-playing,3.1,3,0.59,2.99,80,True,False,1115326800.0,True,Role-playing,2005.0
Kathy Rain: Director's Cut Deluxe Edition,Clifftop Games,Raw Fury,"['Adventure', 'Point-and-click', 'Modern']",Adventure,4.1,1,5.59,18.68,70,True,False,1635195600.0,True,Adventure,2021.0
Hypnospace Outlaw + Original Soundtrack,"Tendershoot, Michael Lasch, ThatWhichIs Media",No More Robots,"['Simulation', 'Adventure', 'Sci-fi']",Simulation,4.6,2,7.49,24.89,70,True,False,1552341600.0,True,Simulation,2019.0
False Skies,Feenicks,Feenicks,"['Role-playing', 'Turn-based', 'JRPG']",Role-playing,3.8,4,7.39,7.39,0,False,False,1669759200.0,True,Role-playing,2022.0
Death Trash,Crafting Legends,Crafting Legends,"['Role-playing', 'Action', 'Open World']",Role-playing,4.6,47,15.99,19.99,20,True,False,1628110800.0,True,Role-playing,2021.0
fault - milestone two side:above,ALICE IN DISSONANCE,Sekai Project,"['Adventure', 'Visual Novel', 'Fantasy']",Adventure,4.4,12,5.99,14.99,60,True,False,1441659600.0,True,Adventure,2015.0
Dustborn,Red Thread Games,Spotlight by Quantic Dream,"['Action', 'Adventure', '']",Action,1.8,60,9.0,29.99,70,True,False,1724101200.0,True,Action,2024.0
Death and Taxes,Placeholder Gameworks,Pineapple Works,"['Simulation', 'Adventure', 'Narrative']",Simulation,3.4,16,1.85,11.99,85,True,False,1582149600.0,True,Simulation,2020.0
X-Morph: Defense Complete Edition,EXOR Studios,EXOR Studios,"['Action', 'Strategy', 'Sci-fi']",Action,4.3,77,5.0,24.99,80,True,False,1504040400.0,True,Action,2017.0
Reus 2,Abbey Games,Firesquid,"['Simulation', 'Strategy', 'Puzzle']",Simulation,4.6,9,15.99,24.5,35,True,False,1716843600.0,True,Simulation,2024.0
Absolute Drift,Funselektor Labs Inc.,Funselektor Labs Inc.,"['Racing', 'Simulation', 'Open World']",Racing,3.0,59,11.99,11.99,0,False,False,1437771600.0,True,Racing,2015.0
Dreams of Desire: Definitive Edition,Lewdlab,Lewdlab,"['Role-playing', 'Visual Novel', 'FPP']",Role-playing,3.4,8,6.96,13.79,50,True,False,1634677200.0,True,Role-playing,2021.0
Batman™: Arkham Knight Premium Edition,Rocksteady Studios,Warner Bros. Interactive Entertainment,"['Action', 'TPP', 'Open World']",Action,4.4,26,5.99,39.99,85,True,False,1450735200.0,True,Action,2015.0
Tangle Tower,SFB Games,SFB Games,"['Adventure', 'Point-and-click', 'Detective-mystery']",Adventure,4.2,15,3.39,16.79,80,True,False,1571691600.0,True,Adventure,2019.0
METAL SLUG,SNK CORPORATION,SNK CORPORATION,"['Action', 'Arcade', 'Fighting']",Action,4.1,76,1.99,7.99,75,True,False,820447200.0,True,Action,1995.0
Lust Academy - Season 2,Bear in the Night,Bear in the Night,"['Adventure', 'Role-playing', 'Narrative']",Adventure,3.4,5,12.69,14.95,15,True,False,1683579600.0,True,Adventure,2023.0
Wasteland 3,inXile Entertainment,inXile Entertainment,"['Role-playing', 'Strategy', 'Tactical']",Role-playing,3.7,204,22.09,33.99,35,True,False,1598562000.0,True,Role-playing,2020.0
CROSSED SWORDS,Code Mystics,SNK CORPORATION,"['Action', 'Arcade', 'Fantasy']",Action,3.8,1,4.79,5.89,19,True,False,680389200.0,True,Action,1991.0
"Warhammer 40,000: Gladius - Relics of War Lord of Skulls",Proxy Studios,Slitherine Ltd.,"['Strategy', 'Turn-based', 'Sci-fi']",Strategy,2.7,5,1.19,2.39,50,True,False,1531342800.0,True,Strategy,2018.0
Fetish Locator Week Three,ViNovella Games,ViNovella Games,"['Simulation', 'Visual Novel', 'Narrative']",Simulation,3.3,7,17.59,19.5,10,True,False,1684875600.0,True,Simulation,2023.0
Citizen Sleeper,Jump Over The Age,Fellow Traveller,"['Role-playing', 'Adventure', 'Sci-fi']",Role-playing,4.3,97,5.09,16.79,70,True,False,1651698000.0,True,Role-playing,2022.0
Foundation Soundtrack,Polymorph Games,Polymorph Games,"['Strategy', 'Building', 'Managerial']",Strategy,3.6,3,3.79,4.99,24,True,False,1548972000.0,True,Strategy,2019.0
Chambers of Devious Design,Redbeak Games,Redbeak Games,"['Strategy', 'Puzzle', 'Tactical']",Strategy,4.4,5,4.19,11.99,65,True,False,1662325200.0,True,Strategy,2022.0
Crusader Kings II,Paradox Development Studio,Paradox Interactive,"['Strategy', 'Simulation', 'Historical']",Strategy,3.1,57,0.0,0.0,0,False,True,1329170400.0,True,Strategy,2012.0
Streets of Rogue Character Pack,Matt Dabrowski,tinyBuild,"['Shooter', 'Action', 'Roguelike']",Shooter,4.1,1,0.99,4.99,80,True,False,1588107600.0,True,Shooter,2020.0
Battle Brothers - Support the Developers & Southern Banner,Overhype Studios,Overhype Studios,"['Strategy', 'Turn-based', 'Historical']",Strategy,4.3,2,8.99,10.0,10,True,False,1597266000.0,True,Strategy,2020.0
Corpse Party (2021),MAGES.,"XSEED Games, Marvelous USA, Inc.","['Role-playing', 'Adventure', 'Horror']",Role-playing,3.8,7,9.99,19.99,50,True,False,1634677200.0,True,Role-playing,2021.0
Oddworld: Soulstorm Enhanced Edition,Oddworld Inhabitants,Oddworld Inhabitants,"['Action', 'Adventure', 'Platformer']",Action,3.8,9,8.0,31.99,75,True,False,1655758800.0,True,Action,2022.0
Agatha Christie - Hercule Poirot: The London Case,Blazing Griffin,Microids,"['Adventure', 'Point-and-click', 'Detective-mystery']",Adventure,3.0,5,9.0,29.99,70,True,False,1693256400.0,True,Adventure,2023.0
The Legend of Heroes: Trails of Cold Steel IV - Premium Cosmetic Set,Nihon Falcom Corporation,"NIS America, Inc.","['Adventure', 'Turn-based', 'JRPG']",Adventure,2.1,1,11.29,22.49,50,True,False,1617915600.0,True,Adventure,2021.0
Digital Eclipse Bundle,Digital Eclipse,Digital Eclipse,"['Action', 'Combat', 'Fantasy']",Action,1.2,2,24.77,41.21,40,True,False,1695157200.0,True,Action,2023.0
Sudocats Paper,Devcats,Devcats,"['Strategy', 'Point-and-click', 'Puzzle']",Strategy,5.0,1,0.0,0.0,0,False,True,1649624400.0,True,Strategy,2022.0
Train Valley 2 - Passenger Flow,"Alexey Davydov, Sergey Dvoynikov, Timofey Shargorodskiy","Flazm, META Publishing","['Simulation', 'Building', 'Managerial']",Simulation,4.4,1,1.79,4.99,64,True,False,1570050000.0,True,Simulation,2019.0
Above Snakes,Square Glade Games,Crytivo,"['Simulation', 'Building', 'Sandbox']",Simulation,3.2,4,12.49,24.99,50,True,False,1684962000.0,True,Simulation,2023.0
No Longer Home,"Humble Grove, Hana Lee, Cel Davison, Adrienne Lombardo, Eli Rainsberry",Fellow Traveller,"['Adventure', 'Point-and-click', '']",Adventure,2.1,2,2.49,12.24,80,True,False,1627592400.0,True,Adventure,2021.0
Lacuna – A Sci-Fi Noir Adventure,DigiTales Interactive,Assemble Entertainment,"['Adventure', 'Adventure', 'Detective-mystery']",Adventure,3.9,78,3.19,15.99,80,True,False,1621458000.0,True,Adventure,2021.0
Realms of Arkania: Blade of Destiny (Remake),"United Independent Entertainment, Crafty Studios",United Independent Entertainment GmbH,"['Role-playing', 'Turn-based', 'Fantasy']",Role-playing,3.8,10,9.75,9.75,0,False,False,1375131600.0,True,Role-playing,2013.0
Papetura,Petums,Petums,"['Adventure', 'Puzzle', '']",Adventure,4.2,24,4.89,9.99,51,True,False,1620334800.0,True,Adventure,2021.0
Gas Station Simulator,DRAGO entertainment,DRAGO entertainment,"['Simulation', 'Building', 'Managerial']",Simulation,3.6,19,10.79,19.5,45,True,False,1631653200.0,True,Simulation,2021.0
Arise: A Simple Story,Piccolo Studio,Untold Tales,"['Adventure', 'Puzzle', '']",Adventure,3.9,15,4.89,19.5,75,True,False,1606946400.0,True,Adventure,2020.0
Darksiders Blades & Whip Franchise Pack,"KAIKO, Vigil Games, Gunfire Games",THQ Nordic GmbH,"['Action', 'Adventure', 'Fantasy']",Action,4.3,9,15.99,79.99,80,True,False,1543269600.0,True,Action,2018.0
Banner Saga 3: Deluxe Edition,Stoic,Stoic,"['Strategy', 'Role-playing', 'Fantasy']",Strategy,3.4,1,29.99,29.99,0,False,False,1532552400.0,True,Strategy,2018.0
Silent Hill 4: The Room,Team Silent,KONAMI,"['Action', 'Adventure', 'Horror']",Action,4.5,680,6.99,9.99,30,True,False,1094504400.0,True,Action,2004.0
Goliath - Summertime Gnarkness DLC,Whalebox,Octopus Tree,"['Action', 'Adventure', 'Sandbox']",Action,4.0,1,0.0,0.0,0,False,True,1467666000.0,True,Action,2016.0
Kingdom Come: Deliverance II Expansion Pass,Warhorse Studios,Deep Silver,"['Adventure', 'Role-playing', 'Historical']",Adventure,3.7,2,29.99,29.99,0,False,False,1738620000.0,True,Adventure,2025.0
"Warhammer 40,000: Mechanicus - Heretek",Bulwark Studios,Kasedo Games,"['Strategy', 'Turn-based', 'Sci-fi']",Strategy,3.7,6,4.89,9.75,50,True,False,1563829200.0,True,Strategy,2019.0
Dungeon Siege Collection,"Gas Powered Games, Obsidian Entertainment","Square Enix, Eidos Interactive","['Role-playing', 'Action', 'Fantasy']",Role-playing,3.3,133,4.99,19.99,75,True,False,1319490000.0,True,Role-playing,2011.0
Destroy All Humans! Special Skin Pack,"Black Forest Games, Pandemic Studios",THQ Nordic GmbH,"['Action', 'Adventure', 'Sci-fi']",Action,2.0,8,2.49,9.99,75,True,False,1595883600.0,True,Action,2020.0
Toodee and Topdee Soundtrack,dietzribi,Top Hat Studios Inc,"['Adventure', 'Action', 'Puzzle']",Adventure,5.0,1,1.99,4.99,60,True,False,1628024400.0,True,Adventure,2021.0
Anstoss,Ascon,Kalypso Media Digital,"['Sports', 'Simulation', 'Managerial']",Sports,3.3,15,3.19,3.99,20,True,False,783640800.0,True,Sports,1994.0
Mages of Mystralia,Borealys Games,Borealys Games,"['Action', 'Adventure', 'Fantasy']",Action,3.9,21,19.99,19.99,0,False,False,1495054800.0,True,Action,2017.0
War for the Overworld: Crucible,Brightrock Games,Mythwright,"['Strategy', 'Action', 'Fantasy']",Strategy,3.1,5,0.0,0.0,0,False,True,1481580000.0,True,Strategy,2016.0
Kong: Survivor Instinct,7Levels,"7Levels, 4Divinity","['Action', 'Adventure', 'Platformer']",Action,4.5,5,18.79,24.99,25,True,False,1729544400.0,True,Action,2024.0
TasteMaker: Restaurant Simulator,Jelle Booij,Jelle Booij,"['Simulation', 'Strategy', 'Managerial']",Simulation,3.8,4,11.99,11.99,0,False,False,1682024400.0,True,Simulation,2023.0
The Messenger Original Soundtrack - Disc II: The Future,"Sabotage, Rainbowdragoneyes",Devolver Digital,"['Action', 'Combat', 'Platformer']",Action,3.4,1,1.99,3.99,50,True,False,1535576400.0,True,Action,2018.0
Mutant Year Zero: Road to Eden Demo,The Bearded Ladies,Funcom,"['Strategy', 'Role-playing', 'Tactical']",Strategy,4.2,7,0.0,0.0,0,False,True,1543874400.0,True,Strategy,2018.0
Asterix & Obelix: Slap them All!,Mr. Nutz Studio,Microids,"['Action', 'Combat', 'Comedy']",Action,3.0,16,5.0,24.99,80,True,False,1638828000.0,True,Action,2021.0
People Playground,mestiez,Studio Minus,"['Action', 'Simulation', 'Sandbox']",Action,4.5,12,6.19,8.19,24,True,False,1563829200.0,True,Action,2019.0
Spiritfarer®: Farewell Edition,Thunder Lotus Games,Thunder Lotus Games,"['Simulation', 'Adventure', 'Platformer']",Simulation,4.5,80,24.99,24.99,0,False,False,1597698000.0,True,Simulation,2020.0
Dying Light - 10th Anniversary Bundle,Techland,Techland,"['Action', 'FPP', 'Modern']",Action,4.3,2,2.99,2.99,0,False,False,1737928800.0,True,Action,2025.0
Shadow Tactics: Blades of the Shogun Demo,Mimimi Productions ,Daedalic Entertainment,"['Strategy', 'Real-time', 'Stealth']",Strategy,4.6,23,0.0,0.0,0,False,True,1480975200.0,True,Strategy,2016.0
CHUCHEL Soundtrack + Art Book,Amanita Design,Amanita Design,"['Adventure', 'Point-and-click', 'Comedy']",Adventure,2.0,1,1.79,6.99,74,True,False,1520373600.0,True,Adventure,2018.0
Against The Moon - Moonstorm,Code Heretic,Black Tower Entertainment ,"['Adventure', 'Role-playing']",Adventure,3.7,2,0.0,0.0,0,False,True,1618261200.0,True,Adventure,2021.0
Basingstoke,Puppygames,Puppygames,"['Action', 'Adventure', 'Stealth']",Action,3.6,5,16.79,27.99,40,True,False,1524776400.0,True,Action,2018.0
Carmageddon TDR 2000,Torus Games,THQ Nordic GmbH,"['Action', 'Combat', 'Rally']",Action,3.2,61,1.59,3.99,60,True,False,976744800.0,True,Action,2000.0
Broken Pieces,"Elseware Experience, Benoit Dereau, Mael Vignaux",indie.io,"['Adventure', 'Puzzle', 'Mystery']",Adventure,3.9,12,3.69,9.49,61,True,False,1662670800.0,True,Adventure,2022.0
Tunguska: Ghost of Valentin,Rotorist Workshop,Rotorist Workshop,"['Action', 'Adventure', 'Open World']",Action,4.2,6,0.0,0.0,0,False,True,1667426400.0,True,Action,2022.0
"Warhammer 40,000: Rogue Trader - Deluxe Pack",Owlcat Games,Owlcat Games,"['Role-playing', 'Turn-based', 'Tactical']",Role-playing,4.5,2,7.49,14.99,50,True,False,1701900000.0,True,Role-playing,2023.0
The Edge of Allegoria,Button Factory Games,CobraTekku Games,"['Adventure', 'Turn-based', 'JRPG']",Adventure,4.1,3,14.99,19.99,25,True,False,1733263200.0,True,Adventure,2024.0
Door Kickers: Action Squad,KillHouse Games,KillHouse Games,"['Strategy', 'Real-time', 'Tactical']",Strategy,4.2,63,3.0,11.99,75,True,False,1536526800.0,True,Strategy,2018.0
Teamfight Manager,Team Samoyed,Team Samoyed,"['Simulation', 'Team sport', 'Managerial']",Simulation,3.5,5,8.19,8.19,0,False,False,1614549600.0,True,Simulation,2021.0
Giant Bundle,"QLOC, Fancy Bytes, Reactor, Enlight Software Limited, PerspectX",Toplitz Productions,"['Strategy', 'Simulation', 'Managerial']",Strategy,3.8,5,3.99,19.99,80,True,False,1644789600.0,True,Strategy,2022.0
ARROW,Alexis Clemente,AleC Games,"['Strategy', 'Arcade', 'Puzzle']",Strategy,3.9,3,0.69,1.59,57,True,False,1662584400.0,True,Strategy,2022.0
Zombies Ate My Neighbors and Ghoul Patrol,DotEmu,Disney/Lucasfilm,"['Action', 'Adventure', '']",Action,3.8,11,3.69,14.79,75,True,False,1624914000.0,True,Action,2021.0
Paper Beast - Folded Edition,Pixel Reef,"Pixel Reef, PID Games","['Adventure', 'Puzzle', '']",Adventure,3.8,2,16.99,16.99,0,False,False,1603141200.0,True,Adventure,2020.0
Dead In Vinland - Norse Side Stories,Ishtar Games,Ishtar Games,"['Adventure', 'Simulation', 'Survival']",Adventure,3.4,3,2.49,4.99,50,True,False,1556744400.0,True,Adventure,2019.0
Succubus - Nasty Outfits,Madmind Studio,Madmind Studio,"['Action', 'Adventure', 'Horror']",Action,2.7,3,1.49,1.59,6,True,False,1668808800.0,True,Action,2022.0
Shardpunk - Demo,Clockwork Pile,Retrovibe,"['Role-playing', 'Turn-based', 'Sci-fi']",Role-playing,3.2,4,0.0,0.0,0,False,True,1681333200.0,True,Role-playing,2023.0
Steelrising - Bastille Edition,Spiders,Nacon,"['Role-playing', 'Action', 'Fantasy']",Role-playing,4.0,6,9.0,59.99,85,True,False,1662584400.0,True,Role-playing,2022.0
Bright Memory: Infinite Energetic DLC,FYQD-Studio,PLAYISM,"['Shooter', 'Action', 'Sci-fi']",Shooter,4.5,1,0.69,0.79,13,True,False,1636668000.0,True,Shooter,2021.0
God's Trigger,One More Level,Techland Publishing,"['Action', 'Puzzle', 'Roguelike']",Action,3.6,19,2.99,14.99,80,True,False,1555621200.0,True,Action,2019.0
Insomnis,Path Games,Gammera Nest,"['Adventure', 'Puzzle', 'Horror']",Adventure,3.4,1,12.49,12.49,0,False,False,1641506400.0,True,Adventure,2022.0
DUSK,David Szymanski,New Blood Interactive,"['Shooter', 'Action', 'FPP']",Shooter,4.6,202,16.99,16.99,0,False,False,1544392800.0,True,Shooter,2018.0
Wolfenstein II: The Freedom Chronicles - Episode 2,Machine Games,Bethesda Softworks LLC,"['Shooter', 'FPP', 'Sci-fi']",Shooter,2.7,1,3.99,9.99,60,True,False,1517263200.0,True,Shooter,2018.0
Blood Bowl 2 - Legendary Edition,Cyanide Studios,Cyanide Studios,"['Sports', 'Strategy', 'Fantasy']",Sports,4.1,16,29.99,29.99,0,False,False,1442869200.0,True,Sports,2015.0
They Always Run,Alawar,Alawar,"['Action', 'Adventure', 'Platformer']",Action,3.8,19,2.49,9.75,74,True,False,1634677200.0,True,Action,2021.0
"Warhammer 40,000: Rogue Trader - Void Shadows",Owlcat Games,Owlcat Games,"['Role-playing', 'Turn-based', 'Tactical']",Role-playing,4.4,5,13.19,17.49,25,True,False,1727125200.0,True,Role-playing,2024.0
Chernobylite Charity Pack,The Farm 51,The Farm 51,"['Shooter', 'FPP', 'Survival']",Shooter,3.0,7,3.29,3.29,0,False,False,1647813600.0,True,Shooter,2022.0
Sniper Ghost Warrior 3,CI Games,CI Games,"['Shooter', 'Action', 'Stealth']",Shooter,3.6,117,1.69,16.99,90,True,False,1492981200.0,True,Shooter,2017.0
Links LS: 1998 Edition,Access Software,Big Finish Games,"['Sports', 'Simulation']",Sports,3.5,17,4.19,8.29,49,True,False,899154000.0,True,Sports,1998.0
JUSTICE SUCKS: Tactical Vacuum Action,Samurai Punk,tinyBuild,"['Action', 'Adventure', 'Sandbox']",Action,3.6,2,4.29,16.99,75,True,False,1662584400.0,True,Action,2022.0
Mainlining: Deluxe Edition Upgrade,Rebelephant,Silver Lining Interactive,"['Strategy', 'Point-and-click', 'Puzzle']",Strategy,2.4,1,3.69,3.69,0,False,False,1485381600.0,True,Strategy,2017.0
Kaptain Brawe: A Brawe New World,Cateia Games,Cateia Games,"['Adventure', 'Point-and-click', 'Sci-fi']",Adventure,4.5,2,8.19,14.95,45,True,False,1295474400.0,True,Adventure,2011.0
Curse of the Dead Gods,Passtech Games,Focus Entertainment,"['Action', 'Adventure', 'Roguelike']",Action,3.9,23,4.99,19.99,75,True,False,1614031200.0,True,Action,2021.0
Magical Drop VI,"Storm Trident S.A., Highball Games","Forever Entertainment S. A., TA Publishing","['Action', 'Puzzle', 'Comedy']",Action,4.0,10,3.0,29.99,90,True,False,1682370000.0,True,Action,2023.0
